,site,lat,long
39262,25079,25.49,-80.54
39779,25180,25.3,-80.39
39758,25178,25.61,-80.41
104443,83002,26.89,-98.13
106912,83098,26.53,-97.7
107757,83301,26.15,-97.94
38413,25026,26.29,-81.44
39306,25082,26.87,-81.35
39281,25081,26.55,-81.12
104636,83008,27.32,-98.96
104588,83007,27.07,-98.82
109991,83410,27.04,-99.43
107785,83302,27.34,-97.69
104533,83005,27.53,-97.94
107835,83303,27.29,-98.5
39203,25070,27.76,-82.33
39400,25086,26.94,-81.76
38146,25017,27.44,-82.11
104833,83016,28.28,-98.31
104887,83017,28.67,-98.38
107946,83308,28.51,-98.11
39146,25068,28.69,-81.54
38323,25022,28.17,-81.86
38251,25020,28.32,-82.3
39115,25067,28.1,-80.89
38494,25030,27.96,-80.96
39172,25069,28.32,-81.33
108107,83314,29.21,-97.14
105149,83024,29.01,-96.93
107650,83214,28.78,-97.22
107918,83305,28.74,-95.76
105082,83022,29.12,-95.24
108075,83312,29.18,-95.61
39543,25113,29.45,-82.11
39014,25063,29.53,-81.87
39707,25165,29.18,-82.28
107410,83140,30.24,-98.05
105249,83027,29.82,-97.74
108444,83324,30.09,-97.78
108035,83311,29.91,-94.04
57271,42207,29.89,-93.4
55834,42015,30.0,-93.34
56265,42034,30.08,-92.45
56483,42056,30.4,-93.16
56875,42106,29.77,-93.01
56178,42031,29.84,-92.23
56150,42030,29.71,-91.87
56380,42051,29.98,-91.95
57644,42309,30.47,-91.21
56804,42104,29.75,-90.55
56842,42105,29.69,-91.2
19277,2070,30.3,-87.72
19700,2141,30.28,-87.51
19739,2142,30.37,-87.6
37818,25005,30.33,-85.28
37910,25009,29.78,-85.3
37765,25004,30.52,-85.13
39501,25108,30.32,-85.0
38107,25015,29.98,-84.97
38810,25057,30.38,-84.66
37989,25011,29.66,-83.37
37949,25010,30.27,-83.85
38845,25058,30.35,-83.33
38889,25059,30.02,-82.81
38022,25012,30.5,-82.73
39333,25084,29.68,-83.06
39679,25138,30.09,-81.8
38552,25037,30.25,-82.16
38288,25021,29.89,-81.83
108622,83330,30.61,-103.36
108649,83331,30.81,-103.94
109956,83392,30.56,-103.91
108367,83322,30.6,-95.62
107269,83135,30.78,-95.8
105452,83034,30.53,-95.5
108326,83321,30.59,-94.18
105412,83033,30.71,-94.93
105610,83044,31.2,-94.81
109038,83347,30.73,-93.64
55871,42016,30.83,-93.31
56970,42122,31.06,-93.49
70298,51101,31.08,-91.54
55928,42017,31.18,-91.67
55781,42012,30.86,-91.51
70251,51043,31.02,-90.57
56215,42032,30.85,-90.73
55647,42009,30.7,-90.51
55694,42010,30.88,-90.24
69413,51018,31.23,-89.82
69461,51020,30.79,-89.71
70040,51037,31.05,-89.27
69743,51030,30.81,-88.76
70429,51119,30.61,-89.51
19653,2137,31.07,-87.83
20587,2754,30.68,-87.96
18695,2052,31.29,-88.38
20550,2753,31.37,-87.72
20445,2218,30.8,-87.63
18230,2038,31.31,-87.12
18160,2035,30.99,-86.88
19232,2067,31.4,-86.27
38589,25052,30.72,-86.78
18085,2031,31.0,-85.21
39448,25107,30.53,-85.83
38719,25055,30.94,-85.74
41882,27158,30.6,-82.7
40272,27018,31.21,-83.25
39837,27004,30.92,-83.02
38214,25019,30.72,-81.9
41919,27304,31.06,-81.93
41752,27117,31.19,-82.23
22235,6028,32.03,-110.3
22939,6081,31.71,-111.06
22282,6032,31.51,-110.79
110105,83439,31.59,-99.42
110067,83438,31.61,-98.65
105937,83055,31.5,-99.16
105732,83049,31.43,-96.59
107466,83147,31.85,-95.97
108818,83336,31.86,-96.22
57149,42137,31.66,-93.57
56100,42027,32.07,-93.97
57502,42304,31.98,-93.44
56013,42020,31.46,-92.29
57050,42125,32.3,-92.34
57332,42221,31.48,-93.14
56533,42057,31.73,-91.59
57417,42302,32.05,-92.12
55971,42018,31.97,-91.44
69168,51010,31.7,-91.05
69120,51008,32.1,-90.57
69956,51035,32.12,-90.74
69695,51028,31.68,-88.52
17683,2020,32.13,-88.31
17726,2021,32.27,-87.83
20361,2214,31.74,-87.63
20228,2210,32.19,-87.37
18736,2053,31.7,-87.77
18587,2050,32.32,-86.71
18121,2034,31.44,-86.61
17791,2024,32.13,-86.27
18821,2055,31.66,-85.65
20401,2216,31.72,-85.25
17908,2027,32.31,-85.55
40946,27038,32.31,-84.56
42098,27318,31.55,-84.65
40075,27010,31.74,-84.71
41546,27052,31.91,-83.55
41387,27049,32.14,-83.57
40631,27029,31.61,-83.91
41789,27155,31.45,-82.8
39977,27007,31.7,-83.24
41436,27050,32.17,-82.95
41697,27112,32.1,-82.37
39884,27005,31.96,-82.35
41838,27156,31.61,-81.62
29985,14137,32.61,-116.2
31940,14221,32.92,-116.48
25401,14051,32.9,-116.23
106764,83093,32.66,-101.96
106714,83092,33.18,-101.56
109319,83355,32.56,-101.9
106087,83063,32.69,-97.72
109203,83352,32.62,-98.36
106165,83065,32.98,-98.38
109466,83359,33.13,-96.16
109116,83350,32.77,-96.02
106041,83060,32.56,-96.13
57368,42301,32.58,-93.43
109376,83357,33.09,-94.04
57233,42140,32.75,-93.54
57464,42303,32.97,-91.51
57012,42124,32.38,-91.65
57190,42139,32.94,-92.26
23608,7002,33.16,-91.33
56653,42060,32.85,-91.26
69080,51007,33.21,-90.69
68979,51005,33.22,-90.09
69026,51006,32.8,-90.19
69836,51032,32.58,-89.86
69318,51016,32.56,-89.1
70082,51038,33.12,-89.1
69598,51026,32.5,-88.92
18495,2048,32.68,-88.12
18442,2047,33.13,-87.82
69508,51023,33.15,-88.62
18281,2043,33.11,-87.1
18537,2049,32.8,-87.76
17757,2022,32.44,-87.21
20270,2211,32.48,-86.56
19899,2164,32.82,-86.11
17848,2025,32.65,-86.7
20172,2209,33.18,-85.46
20308,2212,32.5,-85.25
19133,2065,32.43,-85.87
40133,27014,32.39,-83.45
42140,27321,32.54,-83.74
41288,27046,33.1,-83.81
41591,27054,32.64,-81.69
41995,27309,32.63,-81.84
41490,27051,32.88,-82.36
100930,80055,33.14,-81.04
100588,80013,32.85,-80.65
42053,27310,32.69,-81.47
25317,14047,33.39,-116.8
31886,14220,33.3,-117.34
32047,14226,33.5,-116.79
22714,6070,33.33,-112.67
22144,6020,33.7,-112.27
22690,6069,33.28,-112.93
22750,6073,33.86,-109.16
79390,60069,33.64,-108.79
23369,6123,33.61,-109.1
79439,60070,33.51,-107.21
78763,60020,33.74,-107.32
80041,60115,34.11,-106.87
79595,60074,33.74,-103.64
78875,60024,33.31,-103.62
78707,60018,34.02,-103.73
109506,83362,33.89,-98.97
106538,83078,33.9,-99.18
106489,83076,33.36,-98.92
91551,67050,33.92,-94.56
106283,83069,33.56,-94.5
106234,83068,33.36,-94.74
18934,2059,33.28,-88.0
17635,2019,33.47,-88.17
69557,51025,33.86,-88.65
18973,2060,33.26,-87.42
17586,2017,33.52,-87.0
17535,2016,33.84,-87.58
19028,2061,33.71,-86.44
19785,2156,33.29,-86.33
17483,2014,33.45,-86.6
17428,2012,33.6,-85.75
19592,2111,33.62,-85.74
17324,2008,34.02,-85.71
40513,27027,34.05,-84.78
42322,27327,33.38,-84.28
41175,27044,33.63,-84.21
41228,27045,33.61,-83.6
42276,27326,33.68,-83.7
40421,27024,34.03,-83.31
42235,27325,33.87,-82.55
40319,27019,33.78,-82.48
40732,27031,33.51,-83.09
100226,80002,33.28,-79.69
100355,80005,33.32,-80.46
100973,80056,33.76,-80.53
22607,6065,34.35,-111.1
22657,6066,34.7,-110.76
23185,6116,34.61,-110.37
91665,67054,34.41,-97.45
90728,67007,34.13,-97.21
90681,67005,34.44,-96.82
18331,2045,34.13,-87.76
17179,2001,34.86,-87.6
19317,2071,34.79,-87.38
19426,2073,34.98,-86.06
17232,2006,34.5,-86.68
18388,2046,34.31,-86.47
40466,27026,34.56,-84.72
42587,27335,34.9,-84.51
41003,27039,34.38,-85.04
41055,27040,34.76,-84.06
